Batch No.,공정명,작업실,시작,종료
182,a,R-1108,2021-07-17 17:20,2021-07-18 01:21
182,b,R-1108,2021-07-18 01:21,2021-07-18 16:40
183,a,R-1107,2021-07-18 18:30,2021-07-19 02:30
183,b,R-1107,2021-07-19 02:30,2021-07-19 16:47
184,a,R-1108,2021-07-19 17:10,2021-07-20 01:11
184,b,R-1108,2021-07-20 01:11,2021-07-20 14:35
185,a,R-1107,2021-07-20 17:10,2021-07-21 01:11
185,b,R-1107,2021-07-21 01:11,2021-07-21 16:00
186,a,R-1108,2021-07-21 17:00,2021-07-22 01:00
186,b,R-1108,2021-07-22 01:00,2021-07-22 14:20
187,a,R-1107,2021-07-22 18:30,2021-07-23 02:26
187,b,R-1107,2021-07-23 02:26,2021-07-23 18:12
188,a,R-1108,2021-07-23 10:30,2021-07-23 18:41
188,b,R-1108,2021-07-23 18:41,2021-07-24 07:40
189,a,R-1107,2021-07-24 20:30,2021-07-25 04:31
189,b,R-1107,2021-07-25 04:31,2021-07-25 19:08
190,a,R-1108,2021-07-25 18:30,2021-07-26 02:31
190,b,R-1108,2021-07-26 02:31,2021-07-26 16:01
191,a,R-1107,2021-07-26 18:50,2021-07-27 02:56
191,b,R-1107,2021-07-27 02:56,2021-07-27 17:40
192,a,R-1108,2021-07-27 16:18,2021-07-28 00:21
192,b,R-1108,2021-07-28 00:21,2021-07-28 16:00
193,a,R-1107,2021-07-28 18:30,2021-07-29 02:32
193,b,R-1107,2021-07-29 02:32,2021-07-29 17:05
194,a,R-1108,2021-07-29 18:30,2021-07-30 02:32
194,b,R-1108,2021-07-30 02:32,2021-07-30 18:00
195,a,R-1107,2021-07-31 02:30,2021-07-31 10:31
195,b,R-1107,2021-07-31 10:31,2021-08-01 01:45
196,a,R-1108,2021-07-31 21:10,2021-08-01 05:06
196,b,R-1108,2021-08-01 05:06,2021-08-01 19:30
197,a,R-1107,2021-08-01 22:00,2021-08-02 06:05
197,b,R-1107,2021-08-02 06:05,2021-08-02 20:10
198,a,R-1108,2021-08-02 14:55,2021-08-02 23:03
198,b,R-1108,2021-08-02 23:03,2021-08-03 13:45
199,a,R-1107,2021-08-04 02:30,2021-08-04 10:31
199,b,R-1107,2021-08-04 10:31,2021-08-05 03:30
200,a,R-1108,2021-08-04 20:40,2021-08-05 04:30
200,b,R-1108,2021-08-05 04:30,2021-08-05 19:55
201,a,R-1107,2021-08-05 20:40,2021-08-06 04:41
201,b,R-1107,2021-08-06 04:41,2021-08-06 19:35
202,a,R-1108,2021-08-06 18:30,2021-08-07 02:31
202,b,R-1108,2021-08-07 02:31,2021-08-08 13:59
203,a,R-1107,2021-08-08 10:30,2021-08-08 18:21
203,b,R-1107,2021-08-08 18:21,2021-08-09 13:30
204,a,R-1108,2021-08-09 05:10,2021-08-09 13:12
204,b,R-1108,2021-08-09 13:12,2021-08-10 10:50
205,a,R-1107,2021-08-10 05:10,2021-08-10 13:12
205,b,R-1107,2021-08-10 13:12,2021-08-11 04:10
206,a,R-1108,2021-08-11 04:50,2021-08-11 12:56
206,b,R-1108,2021-08-11 12:56,2021-08-12 03:30
207,a,R-1107,2021-08-12 00:06,2021-08-12 08:00
207,b,R-1107,2021-08-12 08:00,2021-08-12 22:00
208,a,R-1108,2021-08-12 19:00,2021-08-13 03:01
208,b,R-1108,2021-08-13 03:01,2021-08-13 18:12
209,a,R-1107,2021-08-14 02:30,2021-08-14 10:22
209,b,R-1107,2021-08-14 10:22,2021-08-15 00:45
210,a,R-1108,2021-08-15 00:08,2021-08-15 08:01
210,b,R-1108,2021-08-15 08:01,2021-08-15 21:50
211,a,R-1107,2021-08-15 23:30,2021-08-16 07:23
211,b,R-1107,2021-08-16 07:23,2021-08-16 21:20
212,a,R-1108,2021-08-16 21:15,2021-08-17 05:07
212,b,R-1108,2021-08-17 05:07,2021-08-17 19:40
213,a,R-1107,2021-08-18 08:05,2021-08-18 16:04
213,b,R-1107,2021-08-18 16:04,2021-08-19 05:45
214,a,R-1108,2021-08-18 22:09,2021-08-19 06:15
214,b,R-1108,2021-08-19 06:15,2021-08-19 21:15
215,a,R-1107,2021-08-20 07:00,2021-08-20 15:26
215,b,R-1107,2021-08-20 15:26,2021-08-21 04:55
216,a,R-1108,2021-08-21 01:00,2021-08-21 09:15
216,b,R-1108,2021-08-21 09:15,2021-08-21 22:00
217,a,R-1107,2021-08-22 02:30,2021-08-22 10:35
217,b,R-1107,2021-08-22 10:35,2021-08-23 01:15
218,a,R-1108,2021-08-22 21:00,2021-08-23 05:03
218,b,R-1108,2021-08-23 05:03,2021-08-24 13:20
219,a,R-1107,2021-08-23 22:00,2021-08-24 06:06
219,b,R-1107,2021-08-24 06:06,2021-08-24 20:30
220,a,R-1108,2021-08-25 05:50,2021-08-25 13:40
220,b,R-1108,2021-08-25 13:40,2021-08-26 05:00
221,a,R-1107,2021-08-27 17:00,2021-08-28 01:10
222,a,R-1108,2021-08-28 00:00,2021-08-28 07:50
221,b,R-1107,2021-08-28 01:10,2021-08-28 16:00
222,b,R-1108,2021-08-28 07:50,2021-08-28 21:55
223,a,R-1107,2021-08-29 08:30,2021-08-29 16:30
223,b,R-1107,2021-08-29 16:30,2021-08-30 06:40
224,a,R-1108,2021-08-29 20:40,2021-08-30 04:35
224,b,R-1108,2021-08-30 04:35,2021-08-30 19:37
